,event_type,before_break,h2,h3,h4,h5,total_players,def_players,off_players,def_min,off_min,player_min,sum24,sum34,n2,n3,n4,n5,n24,n34
0,camp,post,236.0,137.0,36.0,12.0,284,139,145,897.0,894.0,16892.0,409.0,173.0,0.013971110584892256,0.0081103480937722,0.002131186360407293,0.0007103954534690978,0.02421264503907175,0.010241534454179493
1,camp,pre,214.0,104.0,16.0,9.0,304,149,155,1224.0,1067.0,21743.0,334.0,120.0,0.009842248079841787,0.00478314859954928,0.0007358690153152739,0.00041392632111484154,0.015361265694706342,0.005519017614864554
2,game,post,436.0,300.0,89.0,52.0,204,97,107,192.67,167.33,3040.06,825.0,389.0,0.14341822200877616,0.09868226285007532,0.02927573797885568,0.017104925560679725,0.2713762228377072,0.12795800082893102
3,game,pre,568.0,378.0,140.0,47.0,204,97,107,191.08,168.92000000000002,3053.46,1086.0,518.0,0.1860184839493558,0.12379399107897271,0.04584962632554545,0.0153923745521474,0.35566210135387394,0.16964361740451814
4,scrimmage,post,8.0,3.0,0.0,0.0,20,10,10,60.0,60.0,1200.0,11.0,3.0,0.006666666666666667,0.0025,0.0,0.0,0.009166666666666667,0.0025
5,scrimmage,pre,1.0,0.0,0.0,0.0,20,10,10,28.0,28.0,560.0,1.0,0.0,0.0017857142857142857,0.0,0.0,0.0,0.0017857142857142857,0.0
6,thurs,pre,181.0,81.0,28.0,19.0,206,99,107,1394.0,1304.0,23032.0,290.0,109.0,0.00785863146926016,0.003516846127127475,0.0012156998957971517,0.0008249392150052102,0.012591177492184786,0.004732546022924626
7,tues,post,197.0,142.0,35.0,18.0,247,117,130,831.0,843.0,13848.0,374.0,177.0,0.014225880993645293,0.01025418833044483,0.0025274407856730216,0.0012998266897746968,0.02700751010976314,0.01278162911611785
8,tues,pre,128.0,63.0,19.0,8.0,247,117,130,1008.0,898.0,15658.0,210.0,82.0,0.008174734959764977,0.004023502363009324,0.0012134372205901136,0.0005109209349853111,0.013411674543364414,0.005236939583599438
9,wed,post,155.0,55.0,25.0,14.0,158,76,82,482.0,513.0,8776.0,235.0,80.0,0.017661804922515952,0.006267092069279855,0.0028486782133090244,0.0015952597994530538,0.02677757520510483,0.009115770282588878
10,wed,pre,111.0,48.0,10.0,2.0,158,76,82,689.0,592.0,11224.0,169.0,58.0,0.009889522451888809,0.0042765502494654314,0.0008909479686386316,0.0001781895937277263,0.015057020669992873,0.005167498218104063
11,wed/thurs,pre,57.0,28.0,13.0,4.0,44,20,24,289.0,281.0,4194.0,98.0,41.0,0.013590844062947067,0.006676204101096805,0.003099666189794945,0.0009537434430138292,0.023366714353838816,0.00977587029089175
