name,prebreak,length
Bye #1,pre,77.0
Conneticut #1,post,57.0
Conneticut #1,pre,60.0
Conneticut #2,post,57.0
Conneticut #2,pre,68.0
Conneticut #3,pre,112.0
Conneticut Game,post,100.0
Conneticut Game,pre,155.0
Houston #1,post,57.0
Houston #1,pre,60.0
Houston #2,post,57.0
Houston #2,pre,68.0
Houston #3,pre,112.0
Houston Game,post,95.0
Houston Game,pre,170.0
Louisiana #1,post,57.0
Louisiana #1,pre,60.0
Louisiana #2,post,57.0
Louisiana #2,pre,68.0
Louisiana #3,pre,112.0
Louisiana Game,post,95.0
Louisiana Game,pre,185.0
Memphis #1,post,55.0
Memphis #1,pre,66.0
Memphis #2,pre,102.0
Memphis Game,post,95.0
Memphis Game,pre,165.0
Navy #1,post,57.0
Navy #1,pre,60.0
Navy #2,post,57.0
Navy #2,pre,60.0
Navy #3,pre,112.0
Navy Game,post,105.0
Navy Game,pre,160.0
New Mexico #1,post,57.0
New Mexico #1,pre,60.0
New Mexico #2,post,57.0
New Mexico #2,pre,60.0
New Mexico #3,pre,112.0
New Mexico Game,post,80.0
New Mexico Game,pre,170.0
Oklahoma State #1,post,57.0
Oklahoma State #1,pre,58.0
Oklahoma State #2,post,57.0
Oklahoma State #2,pre,58.0
Oklahoma State #3,post,57.0
Oklahoma State #3,pre,66.0
Oklahoma State #5,post,57.0
Oklahoma State #5,pre,58.0
Oklahoma State #6,post,57.0
Oklahoma State #6,pre,66.0
Oklahoma State #7,pre,92.0
Oklahoma State #8,pre,92.0
Oklahoma State Game,post,100.0
Oklahoma State Game,pre,175.0
Oklahoma State Scrim,post,60.0
Oklahoma State Scrim,pre,28.0
S Florida #1,post,57.0
S Florida #1,pre,60.0
S Florida #2,post,49.0
S Florida #2,pre,52.0
S Florida #3,pre,92.0
S Florida #4,pre,112.0
S Florida Game,post,95.0
S Florida Game,pre,165.0
S Methodist #1,post,55.0
S Methodist #1,pre,66.0
S Methodist #2,pre,102.0
S Methodist Game,post,110.0
S Methodist Game,pre,170.0
Temple #1,post,57.0
Temple #1,pre,60.0
Temple #2,post,57.0
Temple #2,pre,68.0
Temple #3,pre,112.0
Temple Game,post,180.0
Temple Game,pre,175.0
Toledo #1,post,57.0
Toledo #1,pre,60.0
Toledo #2,post,57.0
Toledo #2,pre,68.0
Toledo #3,pre,132.0
Toledo Game,post,110.0
Toledo Game,pre,175.0
Tulane #1,post,57.0
Tulane #1,pre,60.0
Tulane #2,pre,112.0
Tulane Game,post,80.0
Tulane Game,pre,165.0
fall camp practice #1,post,53.0
fall camp practice #1,pre,57.0
fall camp practice #10,post,52.0
fall camp practice #10,pre,74.0
fall camp practice #11,post,52.0
fall camp practice #11,pre,74.0
fall camp practice #12,post,52.0
fall camp practice #12,pre,74.0
fall camp practice #13,post,52.0
fall camp practice #13,pre,74.0
fall camp practice #14,post,52.0
fall camp practice #14,pre,74.0
fall camp practice #17,pre,65.0
fall camp practice #2,post,50.0
fall camp practice #2,pre,57.0
fall camp practice #3,post,52.0
fall camp practice #3,pre,74.0
fall camp practice #4,post,52.0
fall camp practice #4,pre,74.0
fall camp practice #5,post,52.0
fall camp practice #5,pre,74.0
fall camp practice #6,post,52.0
fall camp practice #6,pre,74.0
fall camp practice #7,post,52.0
fall camp practice #7,pre,74.0
fall camp practice #8,post,52.0
fall camp practice #8,pre,74.0
fall camp scrimmage #1,post,122.0
fall camp scrimmage #1,pre,38.0
fall camp scrimmage #2,post,97.0
fall camp scrimmage #2,pre,36.0
fall camp walk thru #2,pre,75.0
